LSOA_Code,LSOA Name,Health and Disability Decile,Barriers to Housing & Services Decile,IDAOPI Decile
E01025164,Lancaster 020D E01025164,3,9,6
E01025171,Lancaster 010B E01025171,1,4,2
E01025173,Lancaster 010D E01025173,1,8,2
E01025112,Lancaster 006A E01025112,1,8,1
E01025111,Lancaster 008A E01025111,2,8,4
E01025136,Lancaster 006B E01025136,1,8,1
E01025170,Lancaster 010A E01025170,3,6,4
E01025138,Lancaster 006C E01025138,2,10,3
E01025137,Lancaster 020A E01025137,2,10,4
E01025140,Lancaster 006E E01025140,1,9,3
E01025087,Lancaster 004C E01025087,2,10,3
E01025085,Lancaster 004A E01025085,2,9,6
E01025162,Lancaster 020B E01025162,3,9,6
E01025086,Lancaster 004B E01025086,5,8,7
E01025161,Lancaster 004D E01025161,3,9,7
E01025163,Lancaster 020C E01025163,5,9,8
E01025148,Lancaster 001E E01025148,8,5,10
E01019341,South Lakeland 011A E01019341,9,3,10
E01025096,Lancaster 001B E01025096,4,10,7
E01025089,Lancaster 003A E01025089,4,10,6
E01025090,Lancaster 003B E01025090,6,7,8
E01025097,Lancaster 001C E01025097,2,9,2
E01025098,Lancaster 001D E01025098,2,10,6
E01025168,Lancaster 001F E01025168,4,6,6
E01025088,Lancaster 001A E01025088,5,4,9
E01025169,Lancaster 001G E01025169,5,5,8
E01025375,Rossendale 009C E01025375,6,8,9
E01025376,Rossendale 009D E01025376,4,9,2
E01025360,Rossendale 009B E01025360,3,7,3
E01025359,Rossendale 009A E01025359,5,3,7
E01025369,Rossendale 003C E01025369,1,9,3
E01025370,Rossendale 010F E01025370,3,6,6
E01025388,Rossendale 010G E01025388,2,9,4
E01025383,Rossendale 003F E01025383,6,7,5
E01025389,Rossendale 010H E01025389,1,6,3
E01025390,Rossendale 010I E01025390,2,8,3
E01025368,Rossendale 003B E01025368,3,8,5
E01025367,Rossendale 003A E01025367,6,2,6
E01025382,Rossendale 003E E01025382,1,7,2
E01025381,Rossendale 003D E01025381,2,8,3
E01025247,Preston 016A E01025247,3,8,1
E01025466,South Ribble 001D E01025466,8,10,9
E01025426,South Ribble 001C E01025426,7,10,10
E01025425,South Ribble 001B E01025425,4,10,9
E01025409,South Ribble 003B E01025409,4,10,8
E01025290,Preston 017B E01025290,1,7,1
E01025424,South Ribble 001A E01025424,7,9,10
E01025467,South Ribble 003D E01025467,7,10,9
E01025410,South Ribble 003C E01025410,8,8,9
E01025408,South Ribble 003A E01025408,7,10,9
E01025305,Preston 016F E01025305,2,9,1
E01025303,Preston 004E E01025303,5,6,8
E01033223,Preston 017F E01033223,1,7,1
E01025293,Preston 015C E01025293,1,7,1
E01025292,Preston 015B E01025292,1,8,1
E01033224,Preston 017G E01033224,1,8,1
E01025314,Preston 012G E01025314,2,6,4
E01025275,Preston 011C E01025275,1,9,2
E01025274,Preston 011B E01025274,1,9,3
E01025276,Preston 012A E01025276,5,10,3
E01025294,Preston 011D E01025294,4,9,1
E01025244,Preston 015A E01025244,3,9,1
E01025306,Preston 017D E01025306,2,8,2
E01025289,Preston 017A E01025289,2,8,2
E01025313,Preston 012F E01025313,1,9,1
E01033226,Preston 017H E01033226,1,8,1
E01025295,Preston 014A E01025295,1,7,1
E01025304,Preston 016E E01025304,4,8,3
E01025250,Preston 016D E01025250,1,8,1
E01025248,Preston 016B E01025248,1,9,1
E01025296,Preston 014B E01025296,1,7,1
E01025249,Preston 016C E01025249,2,10,4
E01025245,Preston 007E E01025245,2,9,1
E01025297,Preston 014C E01025297,2,9,1
E01025286,Preston 009E E01025286,1,7,1
E01025298,Preston 014D E01025298,2,9,1
E01025284,Preston 009C E01025284,2,10,4
E01025235,Preston 007B E01025235,4,4,6
E01025246,Preston 011A E01025246,4,10,1
E01025310,Preston 012C E01025310,2,10,5
E01025312,Preston 012E E01025312,3,10,4
E01025308,Preston 012B E01025308,3,10,4
E01025291,Preston 017C E01025291,2,8,3
E01025288,Preston 010D E01025288,2,5,5
E01025427,South Ribble 006B E01025427,3,9,4
E01025411,South Ribble 005A E01025411,6,8,8
E01025462,South Ribble 009E E01025462,6,8,7
E01025428,South Ribble 006C E01025428,5,10,5
E01025449,South Ribble 005C E01025449,7,9,5
E01025412,South Ribble 006A E01025412,3,9,4
E01025429,South Ribble 006D E01025429,2,10,2
E01025450,South Ribble 005D E01025450,2,10,2
E01025448,South Ribble 005B E01025448,3,10,7
E01025464,South Ribble 004D E01025464,8,3,8
E01025231,Preston 013A E01025231,3,10,6
E01025233,Preston 008A E01025233,6,10,8
E01025232,Preston 013B E01025232,2,10,3
E01025269,Preston 013F E01025269,2,9,3
E01025268,Preston 013E E01025268,1,9,3
E01025266,Preston 008D E01025266,5,10,8
E01025267,Preston 013D E01025267,1,10,4
E01025271,Preston 013G E01025271,2,9,5
E01025270,Preston 010A E01025270,4,8,6
E01025265,Preston 013C E01025265,2,6,5
E01025272,Preston 010B E01025272,4,4,8
E01025311,Preston 012D E01025311,2,10,4
E01025309,Preston 008E E01025309,3,10,6
E01025239,Preston 006A E01025239,3,10,4
E01025259,Preston 003C E01025259,7,10,9
E01025260,Preston 005A E01025260,1,8,1
E01025240,Preston 008B E01025240,6,10,7
E01025257,Preston 002A E01025257,7,5,10
E01025258,Preston 003B E01025258,6,10,9
E01025262,Preston 005B E01025262,3,8,3
E01025261,Preston 008C E01025261,2,10,7
E01025256,Preston 003A E01025256,6,10,6
E01025241,Preston 006B E01025241,6,9,8
E01025447,South Ribble 017B E01025447,1,6,1
E01025445,South Ribble 017A E01025445,1,8,3
E01025415,South Ribble 015A E01025415,4,9,6
E01025459,South Ribble 017C E01025459,4,10,6
E01025446,South Ribble 015D E01025446,5,9,6
E01025460,South Ribble 017D E01025460,2,8,4
E01025435,South Ribble 015C E01025435,5,10,6
E01025421,South Ribble 013A E01025421,5,9,5
E01025422,South Ribble 013B E01025422,3,10,4
E01025423,South Ribble 015B E01025423,1,9,1
E01025451,South Ribble 014B E01025451,7,5,9
E01025452,South Ribble 014C E01025452,3,6,5
E01025416,South Ribble 014A E01025416,5,8,6
E01025430,South Ribble 016A E01025430,6,10,8
E01025431,South Ribble 013C E01025431,4,10,6
E01025434,South Ribble 016C E01025434,8,5,10
E01025417,South Ribble 012A E01025417,6,9,7
E01025418,South Ribble 012B E01025418,5,10,9
E01025420,South Ribble 012D E01025420,6,4,7
E01032929,South Ribble 016E E01032929,5,6,5
E01025433,South Ribble 013D E01025433,4,9,6
E01024957,Chorley 003E E01024957,4,5,6
E01032928,South Ribble 016D E01032928,7,5,5
E01024956,Chorley 003D E01024956,6,4,8
E01024958,Chorley 003F E01024958,3,10,5
E01025278,Preston 001A E01025278,7,6,10
E01025234,Preston 007A E01025234,2,9,3
E01025255,Preston 004C E01025255,6,8,8
E01025279,Preston 001B E01025279,6,1,9
E01025277,Preston 002B E01025277,6,7,9
E01025419,South Ribble 012C E01025419,4,8,6
